Authors,Article Title,Publication Year,Species,n traditional ,n edna,Prob.Trad,Pos.Trad,Prob.eDNA,Pos.eDNA,Total.eDNA.Samples (units are day*site samples),Total.Pos.eDNA.Samples,eDNA.Detection.Percentage (based off total number of samples taken) ,Total.Trad.Samples (units are day*trap),Total.Pos.Trad.Samples,Trad.Detection.Percentage (based off total number of samples taken) ,Notes,logRR,Calc.Vari.eDNA.Site,Calc.Vari.Trad.Site,Calc.Vari.eDNA.TotalSamp,Calc.Vari.Trad.TotalSamp,Genetic Markers ,Collection Methods eDNA,Collection Methods Trad,Methods,Traditional Cost,eDNA  Cost,Organism Type
Dougherty_ MM; Larson_ ER; Renshaw_ MA; Gantz_ CA; Egan_ SP; Erickson_ DM; Lodge_ DM,Environmental DNA (eDNA) detects the invasive rusty crayfish Orconectes rusticus at low abundances,1-Jun-16,O. rusticus,12,12,0.75,9,0.92,11,118,58,0.49,259,127,0.49,eDNA from table_ trap numbers from data received from authors ,0.087150176,0.08,0.19,,,COI,Water Fiilter,Baited trap,Passive,NA,NA,Crustacean 
Randall_ LA; Goldberg_ CS; Moehenschlager_ A,Environmental DNA surveys can underestimate amphibian occupancy and overestimate detection probability: implications for practice,1-Sep-23,L. pipiens,68,68,0.28,19,0.16,11,204,email sent ,#VALUE!,204,,0,1 ARU for 3 hours for 3 nights,-0.238274259,0.14,0.2,,,ND1,Water Fiilter,ARU,Passive,NA,NA,Amphibian 
Randall_ LA; Goldberg_ CS; Moehenschlager_ A,Environmental DNA surveys can underestimate amphibian occupancy and overestimate detection probability: implications for practice,1-Sep-23,L. pipiens,68,68,0.4,27,0.16,11,204,,#VALUE!,272,,0,4 visual surveys at different times,-0.393176219,0.14,0.24,,,ND1,Water Fiilter,Visual,Active,NA,NA,Amphibian 
Randall_ LA; Goldberg_ CS; Moehenschlager_ A,Environmental DNA surveys can underestimate amphibian occupancy and overestimate detection probability: implications for practice,1-Sep-23,P. maculata,68,68,0.617647059,42,0.15,10,204,,0,204,,0,1 ARU for 3 hours for 3 nights,-0.62324929,0.13,0.24,,,Cytochrome b,Water Fiilter,ARU,Passive,NA,NA,Amphibian 
Randall_ LA; Goldberg_ CS; Moehenschlager_ A,Environmental DNA surveys can underestimate amphibian occupancy and overestimate detection probability: implications for practice,1-Sep-23,P. maculata,68,68,0.632352941,43,0.15,10,204,,0,272,,0,4 visual surveys at different times,-0.633468456,0.13,0.23,,,Cytochrome b,Water Fiilter,Visual,Active,NA,NA,Amphibian 
Randall_ LA; Goldberg_ CS; Moehenschlager_ A,Environmental DNA surveys can underestimate amphibian occupancy and overestimate detection probability: implications for practice,1-Sep-23,L. pipiens,68,68,0.588235294,40,0.24,16,204,,0,272,,0,4 visual surveys at different times,-0.397940009,0.18,0.24,,,ND1,Water Fiilter,Visual,Active,NA,NA,Amphibian 
Rice_ CJ; Larson_ ER; Taylor_ CA,Environmental DNA detects a rare large river crayfish but with little relation to local abundance,1-May-18,F. eupunctus,39,39,0.538461538,21,0.49,19,156,50,0.32,39,21,0.54,1 kicknet attempt_ ,-0.043465694,0.25,0.25,,,COI,Water Fiilter,kicknet,Active,NA,NA,Crustacean 
Rose_ JP; Wademan_ C; Weir_ S; Wood_ JS; Todd_ BD,Traditional trapping methods outperform eDNA sampling for introduced semi-aquatic snakes,2-Jul-19,N. sipedon,9,9,0.111111111,1,0.11,1,email sent ,,#VALUE!,1350,,0,traps on at each site for 150 days ,0,0.1,0.1,,,18s,Water Fiilter,Trap,Passive,NA,NA,Reptile 
Rose_ JP; Wademan_ C; Weir_ S; Wood_ JS; Todd_ BD,Traditional trapping methods outperform eDNA sampling for introduced semi-aquatic snakes,2-Jul-19,N. fasciata,10,10,0.3,3,0.1,1,,,#DIV/0!,1500,,0,traps on at each site for 150 days ,-0.477121255,0.09,0.21,,,18s,Water Fiilter,Trap,Passive,NA,NA,Reptile 
Schmelzle_ MC; Kinziger_ AP,Using occupancy modelling to compare environmental DNA to traditional field methods for regional-scale monitoring of an endangered aquatic species,1-Jul-16,E. newberryi,29,29,0.482758621,14,0.62,18,254,153,0.6,254,91,0.36,sein hauling for traditional,0.109144469,0.24,0.25,,,Cytochrome b,Water Fiilter,Seining,Active,NA,NA,Fish
Verhees_ JJF; van der Putten_ TAW; van Hoof_ PH; Heijkers_ D; Lemmers_ P; Esser_ HJ; de Boer_ WF,Comparing the effectiveness of short-focal camera trapping_ live trapping_ and soil eDNA for surveying small mammals: A case study on Eurasian water shrew (Neomys fodiens),1-Feb-24,N. fodiens,20,20,0.75,15,0.4,8,20,8,0.4,1200,352,0.29,60 days of camera footage- 352 images of newberryi. For edna:18 soils subsamples taken per site and homogenized_ Bc homogenized will say 20 soil samples,-0.273001272,0.24,0.19,,,Unknown,Soil,camera trapping,Passive,NA,NA,Mammal
Verhees_ JJF; van der Putten_ TAW; van Hoof_ PH; Heijkers_ D; Lemmers_ P; Esser_ HJ; de Boer_ WF,Comparing the effectiveness of short-focal camera trapping_ live trapping_ and soil eDNA for surveying small mammals: A case study on Eurasian water shrew (Neomys fodiens),1-Feb-24,N. fodiens,20,20,0.5,10,0.4,8,20,8,0.4,1060,29,0.03,20 traps at each site (20) deployed for 3 days_ but they reported 1060 live trap days _ had 29 capture events so will say 29/1060,-0.096910013,0.24,0.25,,,Unknown,Soil,live trapping ,Passive,NA,NA,Mammal
Wikston_ M; Breton_ BAA; Vilaça_ ST; Bennett_ AM; Kyle_ CJ; Beresford_ DV; Lesbarreres_ D; Wilson_ CC; Green_ DM; Fortin_ MJ; Murray_ DL,Comparative efficacy of eDNA and conventional methods for monitoring wetland anuran communities,1-Jul-23,A. americanus,30,30,0.266666667,8,0.33,10,240,39,0.16,162,9,0.06,visual suvery happened 2 times during each survey period ,0.096910013,0.22,0.2,,,COI,Water Fiilter,Visual,Active,NA,NA,Amphibian 
Wikston_ M; Breton_ BAA; Vilaça_ ST; Bennett_ AM; Kyle_ CJ; Beresford_ DV; Lesbarreres_ D; Wilson_ CC; Green_ DM; Fortin_ MJ; Murray_ DL,Comparative efficacy of eDNA and conventional methods for monitoring wetland anuran communities,1-Jul-23,A. americanus,29,29,0.068965517,2,0.34,10,232,39,0.17,24,2,0.08,not looking at any late summer data,0.698970004,0.23,0.06,,,COI,Water Fiilter,Dip Net,Active,NA,NA,Amphibian 
Wikston_ M; Breton_ BAA; Vilaça_ ST; Bennett_ AM; Kyle_ CJ; Beresford_ DV; Lesbarreres_ D; Wilson_ CC; Green_ DM; Fortin_ MJ; Murray_ DL,Comparative efficacy of eDNA and conventional methods for monitoring wetland anuran communities,1-Jul-23,A. americanus,30,30,0.5,15,0.33,10,240,39,0.16,96,18,0.19,not looking at any late summer data,-0.176091259,0.22,0.25,,,COI,Water Fiilter,Breeding Call,Active,NA,NA,Amphibian 
Wikston_ M; Breton_ BAA; Vilaça_ ST; Bennett_ AM; Kyle_ CJ; Beresford_ DV; Lesbarreres_ D; Wilson_ CC; Green_ DM; Fortin_ MJ; Murray_ DL,Comparative efficacy of eDNA and conventional methods for monitoring wetland anuran communities,1-Jul-23,H. versicolor,30,30,0.933333333,28,0.5,15,240,39,0.16,162,58,0.36,not looking at any late summer data,-0.271066772,0.25,0.06,,,COI,Water Fiilter,Visual,Active,NA,NA,Amphibian 
Wikston_ M; Breton_ BAA; Vilaça_ ST; Bennett_ AM; Kyle_ CJ; Beresford_ DV; Lesbarreres_ D; Wilson_ CC; Green_ DM; Fortin_ MJ; Murray_ DL,Comparative efficacy of eDNA and conventional methods for monitoring wetland anuran communities,1-Jul-23,H. versicolor,29,29,0.448275862,13,0.52,15,232,39,0.17,24,15,0.63,not looking at any late summer data,0.062147907,0.25,0.25,,,COI,Water Fiilter,Dip Net,Active,NA,NA,Amphibian 
Wikston_ M; Breton_ BAA; Vilaça_ ST; Bennett_ AM; Kyle_ CJ; Beresford_ DV; Lesbarreres_ D; Wilson_ CC; Green_ DM; Fortin_ MJ; Murray_ DL,Comparative efficacy of eDNA and conventional methods for monitoring wetland anuran communities,1-Jul-23,H. versicolor,30,30,0.666666667,20,0.5,15,240,39,0.16,96,32,0.33,not looking at any late summer data,-0.124938737,0.25,0.22,,,COI,Water Fiilter,Breeding Call,Active,NA,NA,Amphibian 
Wikston_ M; Breton_ BAA; Vilaça_ ST; Bennett_ AM; Kyle_ CJ; Beresford_ DV; Lesbarreres_ D; Wilson_ CC; Green_ DM; Fortin_ MJ; Murray_ DL,Comparative efficacy of eDNA and conventional methods for monitoring wetland anuran communities,1-Jul-23,P. crucifer,30,30,0.333333333,10,0.77,23,240,94,0.39,160,11,0.07,not looking at any late summer data,0.361727836,0.18,0.22,,,COI,Water Fiilter,Visual,Active,NA,NA,Amphibian 
Wikston_ M; Breton_ BAA; Vilaça_ ST; Bennett_ AM; Kyle_ CJ; Beresford_ DV; Lesbarreres_ D; Wilson_ CC; Green_ DM; Fortin_ MJ; Murray_ DL,Comparative efficacy of eDNA and conventional methods for monitoring wetland anuran communities,1-Jul-23,P. crucifer,29,29,0.103448276,3,0.79,23,232,94,0.41,24,3,0.13,not looking at any late summer data,0.884606581,0.16,0.09,,,COI,Water Fiilter,Dip Net,Active,NA,NA,Amphibian 
Wikston_ M; Breton_ BAA; Vilaça_ ST; Bennett_ AM; Kyle_ CJ; Beresford_ DV; Lesbarreres_ D; Wilson_ CC; Green_ DM; Fortin_ MJ; Murray_ DL,Comparative efficacy of eDNA and conventional methods for monitoring wetland anuran communities,1-Jul-23,P. crucifer,30,30,0.9,27,0.77,23,240,94,0.39,96,77,0.8,not looking at any late summer data,-0.069635928,0.18,0.09,,,COI,Water Fiilter,Breeding Call,Active,NA,NA,Amphibian 
Wikston_ M; Breton_ BAA; Vilaça_ ST; Bennett_ AM; Kyle_ CJ; Beresford_ DV; Lesbarreres_ D; Wilson_ CC; Green_ DM; Fortin_ MJ; Murray_ DL,Comparative efficacy of eDNA and conventional methods for monitoring wetland anuran communities,1-Jul-23,P. maculata,30,30,0.1,3,0.07,2,240,2,0.01,162,3,0.02,not looking at any late summer data,-0.176091259,0.06,0.09,,,COI,Water Fiilter,Visual,Active,NA,NA,Amphibian 
