Authors,Article.Title,Publication Year,Species,n traditional  = ,n edna = ,Prob.Trad,Pos.Trad,Prob.eDNA,Pos.eDNA,eDNA_samples,eDNA_pos,eDNA.Detection.Percentage.Fine ,Trad_samples,Trad_pos,Trad.Detection.Percentage.Fine,excluded,Notes,logRR,Calc.Vari.eDNA.Site,Calc.Vari.Trad.Site,Calc.Vari.eDNA.TotalSamp,Calc.Vari.Trad.TotalSamp,Genetic Markers ,Collection Methods eDNA,Collection Methods Trad,Methods,Traditional Cost,eDNA  Cost,Organism Type
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,A. albisignatus,10,10,0.2,2,0,0,10,0,0,50,NA,#VALUE!,1,edna- 10 samples were taken but homogenized and a subset analyzed from that. Trad- apples_ 5 pitfall,#NUM!,0,0.25,,,28s,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,A. albisignatus,10,10,0.1,1,0,0,10,0,0,50,NA,#VALUE!,1,edna- 10 samples were taken but homogenized and a subset analyzed from that. Trad- kiwi_ 5 pitfall,#NUM!,0,0.25,,,28s,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,A. albisignatus,10,10,0,0,0,0,10,0,0,50,NA,#VALUE!,1,edna- 10 samples were taken but homogenized and a subset analyzed from that. Trad- apples_ 5 sticky,#NUM!,0,0.25,,,28s,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,A. albisignatus,10,10,0.6,6,0,0,10,0,0,50,NA,#VALUE!,1,edna- 10 samples were taken but homogenized and a subset analyzed from that. Trad- kiwi_ 5 sticky,#NUM!,0,0.25,,,28s,Soil,traps,Passive,NA,NA,Arthropod
Wikston_ M; Breton_ BAA; Vilaça_ ST; Bennett_ AM; Kyle_ CJ; Beresford_ DV; Lesbarreres_ D; Wilson_ CC; Green_ DM; Fortin_ MJ; Murray_ DL,Comparative efficacy of eDNA and conventional methods for monitoring wetland anuran communities,1-Jul-23,A. americanus,30,30,0.266666667,8,0.333333333,10,240,39,0.1625,162,9,0.055555556,0,visual suvery happened 2 times during each survey period ,0.096910013,0.222222222,0.195555556,,,COI,Water Fiilter,Visual,Active,NA,NA,Amphibian 
Wikston_ M; Breton_ BAA; Vilaça_ ST; Bennett_ AM; Kyle_ CJ; Beresford_ DV; Lesbarreres_ D; Wilson_ CC; Green_ DM; Fortin_ MJ; Murray_ DL,Comparative efficacy of eDNA and conventional methods for monitoring wetland anuran communities,1-Jul-23,A. americanus,29,29,0.068965517,2,0.344827586,10,232,39,0.168103448,24,2,0.083333333,0,not looking at any late summer data,0.698970004,0.225921522,0.064209275,,,COI,Water Fiilter,Dip Net,Active,NA,NA,Amphibian 
Wikston_ M; Breton_ BAA; Vilaça_ ST; Bennett_ AM; Kyle_ CJ; Beresford_ DV; Lesbarreres_ D; Wilson_ CC; Green_ DM; Fortin_ MJ; Murray_ DL,Comparative efficacy of eDNA and conventional methods for monitoring wetland anuran communities,1-Jul-23,A. americanus,30,30,0.5,15,0.333333333,10,240,39,0.1625,96,18,0.1875,0,not looking at any late summer data,-0.176091259,0.222222222,0.25,,,COI,Water Fiilter,Breeding Call,Active,NA,NA,Amphibian 
Kamoroff_ C; Meyer_ E; Goldberg_ CS; Parker_ S; Smith_ MM; Reece_ JS,Investigating Aquatic Species Distributions for Sequoia and Kings Canyon National Parks: A Comparison of Visual and Environmental DNA Surveys in Streams,1-Oct-23,A. boreas,6,6,1,6,0,0,36,0,0,36,2,0.055555556,0,6 sites-  eDNA samples across all sites (from data given by authors).18 snorkel observations at each site- double pass therefore 36,#NUM!,0,0,,,Control Region ,Water filter ,Visual,Active,NA,NA,Amphibian
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,A. mali,10,10,1,10,0,0,10,0,0,50,NA,#VALUE!,1,edna- 10 samples were taken but homogenized and a subset analyzed from that. Trad- apples_ 5 pan,#NUM!,0,0,,,28s,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,A. mali,10,10,0.8,8,0,0,10,0,0,50,NA,#VALUE!,1,edna- 10 samples were taken but homogenized and a subset analyzed from that. Trad- kiwi_ 5 pan,#NUM!,0,0,,,28s,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,A. mali,10,10,0,0,0,0,10,0,0,50,NA,#VALUE!,1,edna- 10 samples were taken but homogenized and a subset analyzed from that. Trad- apples_ 5 intercept,#NUM!,0,0,,,28s,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,A. mali,10,10,1,10,0,0,10,0,0,50,NA,#VALUE!,1,edna- 10 samples were taken but homogenized and a subset analyzed from that. Trad- kiwi_ 5 intercept,#NUM!,0,0,,,28s,Soil,traps,Passive,NA,NA,Arthropod
Kamoroff_ C; Meyer_ E; Goldberg_ CS; Parker_ S; Smith_ MM; Reece_ JS,Investigating Aquatic Species Distributions for Sequoia and Kings Canyon National Parks: A Comparison of Visual and Environmental DNA Surveys in Streams,1-Oct-23,A. marmorata,6,6,0.333333333,2,0.333333333,2,33,10,0.303030303,36,4,0.111111111,0,6 sites-  eDNA samples across all sites (from data given by authors).18 snorkel observations at each site- double pass therefore 36,0,0.222222222,0.222222222,,,ND4,Water filter ,Visual,Active,NA,NA,Reptile
