Species,Organism Type,Ave.length.MM
A. albisignatus,Arthropod,3
A. americanus,Amphibian,60
A. boreas,Amphibian,60
A. mali,Arthropod,1.2
A. marmorata,Reptile,150
A. punctipennis,Arthropod,4
A. vulgare,Arthropod,12
A.  Lewisi,Arthropod,2.8
Ae. albopictus,Arthropod,4
Ae. j. japonicus,Arthropod,5
Ae. Koreicus,Arthropod,4.5
Arcitalitrus spp,Arthropod,10
B. subaspera,Amphibian,62
C. carpio,Fish,500
C. exsul,Arthropod,10
C. gulosus,Fish,85
Cartodere spp,Arthropod,1.8
D.  Bugensis,Mollusc,25
D. bugensis,Mollusc,25
D. polymorpha,Mollusc,20
E. crocea,Hydrozoan,15
E. globulus,Arthropod,9
E. newberryi,Fish,45
F. auricularia,Arthropod,13
F. eupunctus,Crustacean,90
G. insculpta,Reptile,160
G. brasiliensis,Fish,150
H. anomala,Crustacean,9
H. versicolor,Amphibian,35
I. nubeclua,Arthropod,3
L. bifurcata,Arthropod,4.5
L. catesbeianus,Amphibian,110
L. catesbeianus,Amphibian,110
L. clamitans,Amphibian,75
L. pipiens,Amphibian,57
L. septentrionalis,Amphibian,70
L. vulgaris,Amphibian,80
L. ylvaticus,Amphibian,50
M. anguilicaudatus,Fish,150
M. australasica ,Fish,700
M. fulgida,Fish,300
M. tasmaniae,Arthropod,17
N. fasciata,Reptile,650
N. fodiens,Mammal,73
N. sipedon,Reptile,700
Nylanderia sp(p),Arthropod,3
O. amamiensis,Amphibian,47
O. clarkii,Fish,500
O. japonicus,Amphibian,48
O. kisutch,Fish,610
O. mykiss,Fish,400
O. rusticus,Crustacean,85
O. splendida,Amphibian,85
O. tshawytsha,Fish,750
P. antipodarum,Mollusc,5
P. clarkii,Crustacean,110
P. crucifer,Amphibian,24
P. demades,Arthropod,2.5
P. fluviatilis,Fish,250
P. grandis,Fish,210
P. lessonae,Amphibian,55
P. maculata,Amphibian,60
P. opilio,Arthropod,5
P. scaber,Arthropod,15
P. swartzi,Fish,75
R. boylii,Amphibian,55
R. cobitis,Fish,50
S. alpinus ,Fish,400
S. capensis,Fish,110
S. loewii,Arthropod,2
S. sarlar,Fish,550
S. trutta,Fish,450
Sericoderus sp,Arthropod,1.6
T. brevifacies,Arthropod,0.6
T. cristatus,Amphibian,100
T. orthodoxus,Arthropod,0.9
