mortality,sample_number,year,month,date,stage,state,latitude,longitude,crop,beekeeper,group,population,sample_ID,Group-Population ID,Acibenzolar-S-Methyl,Azoxystrobin,Benzovindiflupyr,Boscalid,Carbendazim,Cyflufenamid,Cyprodinil,Difenoconazole,Diphenylamine,Fenbuconazole,Fludioxonil,Fluopyram,Flutriafol,Fluxapyroxad,Myclobutanil,Penthiopyrad,Propiconazole,Pyraclostrobin,Pyrimethanil,Tebuconazole,Thiophanate methyl,Trifloxystrobin,Triflumizole,Atrazine,Diuron,Norflurazon,Pendimethalin,S-Metolachlor,Trifluralin,Acetamiprid,Bifenthrin,Buprofezin,Carbaryl,Chlorantraniliprole,Chlorpyrifos,Coumaphos,Diazinon,Diflubenzuron,Dimethoate,Flonicamid,Hexythiazox,Methoxyfenozide,Imidacloprid,Propargite,Pyriproxyfen,Spinetoram A,Spiromesifen,Sulfoxaflor,tau Fluvalinate
Alive,1,2022,2,20220217,1,CA,37.476875,-120.630784,almond,B1,A,S,001,A-S,,,,,,,,,,,,,,,,,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alive,2,2022,2,20220217,1,CA,37.476875,-120.630784,almond,B1,A,L,007,A-L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008,,,,,,,,,,0.012,,,,,,,
Alive,3,2022,2,20220217,1,CA,37.552523,-120.540489,almond,B1,B,S,005,B-S,,,,,,,,,,,,,,,,,,,,,,,,,,,0.032,,,,,,,,,,,,,,,,,,,,,,
Alive,4,2022,2,20220217,1,CA,37.552523,-120.540489,almond,B1,B,L,004,B-L,,,,,,,,,,,,,,,,,,,0.122,0.065,,,,,,,0.034,,,,,,,,,,,,,,,,,,,,,,
Alive,5,2022,2,20220218,1,CA,36.764216,-119.934089,almond,wsu,D,S,006,D-S,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023,,,,,,,,,,,,,,,,,,,,,,
Alive,6,2022,2,20220218,1,CA,36.764216,-119.934089,almond,wsu,D,L,009,D-L,,,,,,,,,,,,,,,,,0.048,,,,,,,,,,0.032,,,,,,,,,,,,,,,,,,,,,,
Alive,7,2022,2,20220216,1,CA,36.283721,-119.331352,almond,B2,E,S,003,E-S,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,0.021,,,,,0.038,,,,,,,,,,,,,,,,,
Alive,8,2022,2,20220216,1,CA,36.283721,-119.331352,almond,B2,E,L,008,E-L,,,,,,,,,,,,,,,0.018,,,,,,,,,,,,0.024,,,,,0.085,,,,,,,,,,,,,,,,,
Alive,9,2022,2,20220216,1,CA,36.283721,-119.331352,almond,B2,F,S,013,F-S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.037,,,,0.013,,,,,,,,,,,,,
Alive,10,2022,2,20220216,1,CA,36.283721,-119.331352,almond,B2,F,L,011,F-L,,,,,,,,,,,,,,,0.026,,,,,,0.115,,,,,,0.028,,,,,0.112,,,,,,,,,,,,,,,,,
Alive,11,2022,2,20220218,1,CA,36.764216,-119.934089,almond,wsu,G,S,010,G-S,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,,,,,,,,,,,,,,,,,
Alive,12,2022,2,20220218,1,CA,36.764216,-119.934089,almond,wsu,G,L,002,G-L,,,,,,,,,,,,,,,,,,,,,0.137,,,,,,0.023,,,,,,,,,,,,,,,,,,,,,,
Dead,13,2022,4,20220407,2,WA,46.533047,-122.517063,blueberry,B1,A,D,017,A-D,,,,,,,0.335,,,,,,,0.053,,,,0.041,,0.354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dead,14,2022,4,20220407,2,WA,46.667277,-120.589848,apple,B1,B,D,015,B-D,,,,,,,0.255,,,,,,,0.015,,,,,,0.24,,,,,,,0.041,,,,,,,,,,,,,,,,,,,,,,
Dead,15,2022,5,20220504,2,WA,46.667277,-120.589848,apple,B1,B,D,028,B-D,,,,,,,0.409,,,,,,,,,,,,,0.364,,,,,,,0.023,,,,,,,,,,,,,,,,,,,,,,
dead,16,2022,5,20220510,2,WA,46.697802,-120.570276,apple,wsu,D,D,029,D-D,,,,,,,0.284,,,,,0.116,,,,,0.045,,,0.095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02
dead,17,2022,5,20220511,2,WA,46.697802,-120.570276,apple,wsu,G,D,019,G-D,,0.058,,,,,0.304,,,,,0.513,,,,,0.196,,,0.431,,0.028,,,,,0.027,,,,,1.2,,,,,,,,,,,,,,,,,
