record_id,type_of_reference,authors,title,secondary_title,language,keywords,abstract,author_address,custom3,issn,date,year,volume,number,start_page,end_page,doi,custom6,accession_number,notes,custom7,asreview_prior,exported_notes_1,included,asreview_ranking
8,JOUR,"['Randall, LA', 'Goldberg, CS', 'Moehenschlager, A']",Environmental DNA surveys can underestimate amphibian occupancy and overestimate detection probability: implications for practice,JOURNAL OF WILDLIFE MANAGEMENT,English,"['automated recording units', 'boreal chorus frog', 'eDNA', 'Lithobates pipiens', 'multi-method occupancy model', 'northern leopard frog', 'Pseudacris maculata', 'visual encounter survey', 'ESTIMATING SITE OCCUPANCY', 'NORTHERN LEOPARD FROG', 'EDNA', 'DEGRADATION', 'PARAMETERS', 'ABUNDANCE']","Environmental DNA analysis of water samples has recently emerged as a powerful tool for studying the distribution, ecology, and conservation of many amphibian species. Validating efficacy through comparison with established methods of detection is important for any new method. We used multi-method and single-method occupancy models to explore the effectiveness of 3 techniques for detecting northern leopard frogs (Lithobates pipiens) and boreal chorus frogs (Pseudacris maculata). We conducted surveys using automated recording units, environmental DNA sampling, and visual encounter surveys in spring (30 Apr-3 Jun) and summer (23 Jul-27 Aug) of 2014 at 68 sites in southern Alberta, Canada. The multi-method analysis incorporated data from all 3 survey methods while accounting for the lack of independence of detections within a sampling occasion, and we compared this to single-method analyses to explore occupancy biases associated with each method and differences in method-specific detection probability. Occupancy and detection probabilities estimated from environmental DNA analyses were biased for northern leopard frogs, overestimating probability of detection and underestimating occupancy. We could not assess bias for boreal chorus frogs because of overdispersion present in in the models. Although no single covariate explained this bias, it was ameliorated (albeit by reducing precision) by including a raw visual count of individuals as a proxy for abundance during the breeding but not the post-metamorphic season. These results emphasize the need for careful consideration of temporal and spatial aspects of sampling design, conducting pilot studies, and external validation of eDNA-only occupancy monitoring schemes prior to widespread implementation.","Calgary Zoo, Wilder Inst, 1300 Zoo Rd NE, Calgary, AB T2E 7V6, Canada",Washington State University,0022-541X,SEP,2023,87,7,,,10.1002/jwmg.22463,Jul-23,WOS:001022362200001,"['Times Cited in Web of Science Core Collection:  2', 'Total Times Cited:  2', 'Cited Reference Count:  70']",,1,,1,1
4,JOUR,"['de Souza, LS', 'Godwin, JC', 'Renshaw, MA', 'Larson, E']",Environmental DNA (eDNA) Detection Probability Is Influenced by Seasonal Activity of Organisms,PLOS ONE,English,"['FRESH-WATER', 'BIODIVERSITY', 'OCCUPANCY', 'CONSERVATION', 'TEMPERATURE', 'OPPORTUNITIES', 'ABUNDANCE', 'SCIENCE', 'DESIGN', 'TOOL']","Environmental DNA (eDNA) holds great promise for conservation applications like the monitoring of invasive or imperiled species, yet this emerging technique requires ongoing testing in order to determine the contexts over which it is effective. For example, little research to date has evaluated how seasonality of organism behavior or activity may influence detection probability of eDNA. We applied eDNA to survey for two highly imperiled species endemic to the upper Black Warrior River basin in Alabama, US: the Black Warrior Water-dog (Necturus alabamensis) and the Flattened Musk Turtle (Sternotherus depressus). Importantly, these species have contrasting patterns of seasonal activity, with N. alabamensis more active in the cool season (October-April) and S. depressus more active in the warm season (May-September). We surveyed sites historically occupied by these species across cool and warm seasons over two years with replicated eDNA water samples, which were analyzed in the laboratory using species-specific quantitative PCR (qPCR) assays. We then used occupancy estimation with detection probability modeling to evaluate both the effects of landscape attributes on organism presence and season of sampling on detection probability of eDNA. Importantly, we found that season strongly affected eDNA detection probability for both species, with N. alabamensis having higher eDNA detection probabilities during the cool season and S. depressus have higher eDNA detection probabilities during the warm season. These results illustrate the influence of organismal behavior or activity on eDNA detection in the environment and identify an important role for basic natural history in designing eDNA monitoring programs.","Univ Illinois, Dept Nat Resources & Environm, Champaign, IL 61820 USA",University of Illinois System,1932-6203,24-Oct,2016,11,10,,,10.1371/journal.pone.0165273,,WOS:000389009200053,"['Times Cited in Web of Science Core Collection:  112', 'Total Times Cited:  142', 'Cited Reference Count:  58']",e0165273,1,,1,2
31,JOUR,"['Li, WH', 'Hou, XL', 'Zhu, YL', 'Du, JC', 'Xu, CX', 'Yang, JY', 'Li, YM']",eDNA Metabarcoding Reveals the Species-Area Relationship of Amphibians on the Zhoushan Archipelago,ANIMALS,English,"['amphibians', 'biodiversity', 'eDNA', 'metabarcoding', 'species richness', 'island biogeography', 'species-area relationship', 'ENVIRONMENTAL DNA', 'ISLANDS', 'DIVERSITY', 'ABUNDANCE', 'BIOLOGY']","Simple Summary This study investigates the species-area relationship of amphibians on the Zhoushan Archipelago using eDNA metabarcoding. By analyzing amphibian species diversity on the Zhoushan Archipelago, the eDNA metabarcoding detected eight amphibian species on the islands and nine species in the mainland areas. Findings reveal that the amphibian species diversity is positively related to the island area. In comparison with the traditional line transect method, eDNA metabarcoding detected more amphibian species. eDNA showcases enormous potential in detecting amphibian species.Abstract The species-area relationship is important for understanding species diversity patterns at spatial scales, but few studies have examined the relationship using environmental DNA (eDNA) techniques. We investigated amphibian diversity on 21 islands of the Zhoushan Archipelago and nearby mainland areas in China using the combination of eDNA metabarcoding and the traditional line transect method (TLTM) and identified the species-area relationship for amphibians on the islands. The mean detection probability of eDNA is 0.54, while the mean detection probability of TLTM is 0.24. The eDNA metabarcoding detected eight amphibian species on the islands and nine species in the mainland areas, compared with seven species on the islands and nine species in the mainland areas that were identified by TLTM. Amphibian richness on the islands increased with island area and habitat diversity. The species-area relationship for amphibians in the archipelago was formulated as the power function (S = 0.47A0.21) or exponential function (S = 2.59 + 2.41 (logA)). Our results suggested that eDNA metabarcoding is more sensitive for the detection of amphibian species. The combined use of eDNA metabarcoding and the traditional line transect method may optimize the survey results for amphibians.","Chinese Acad Sci, Inst Zool, Key Lab Anim Ecol & Conservat Biol, Beijing 100101, Peoples R China",Chinese Academy of Sciences,2076-2615,JUN,2024,14,11,,,10.3390/ani14111519,,WOS:001245099400001,"['Times Cited in Web of Science Core Collection:  1', 'Total Times Cited:  1', 'Cited Reference Count:  47']",1519,1,,1,3
7,JOUR,"['Harper, LR', 'Griffiths, NP', 'Handley, LL', 'Sayer, CD', 'Read, DS', 'Harper, KJ', 'Blackman, RC', 'Li, JL', 'Hänfling, B']",Development and application of environmental DNA surveillance for the threatened crucian carp (<i>Carassius carassius</i>),FRESHWATER BIOLOGY,English,"['crucian carp', 'detection probability', 'environmental DNA', 'ponds', 'quantitative polymerase chain reaction (qPCR)', 'FISH', 'EDNA', 'CONSERVATION', 'DEGRADATION', 'COMMUNITIES', 'POPULATION', 'MANAGEMENT', 'CAPTURE', 'POND', 'SIZE']","The crucian carp (Carassius carassius) is one of few fish species associated with small ponds in the UK. These populations contain genetic diversity not found in Europe and are important to conservation efforts for the species which has declined across its range in Europe. Detection and monitoring of extant crucian carp populations are crucial for conservation success. Environmental DNA (eDNA) analysis could be very useful in this respect as a rapid, cost-efficient monitoring tool. We developed a species-specific quantitative polymerase chain reaction (qPCR) assay for eDNA surveillance of crucian carp to enable non-invasive, large-scale distribution monitoring. We compared fyke netting and eDNA analysis at ponds with (n = 10) and without (n = 10) crucian carp for presence-absence detection. We examined biotic (crucian carp density represented by catch-per-unit-effort [CPUE] estimate) and abiotic influences on eDNA detection probability using a hierarchical occupancy model, and eDNA quantification using a mixed-effects model. eDNA analysis achieved 90% detection for crucian carp (n = 10), failing in only one pond where presence was known. CPUE estimate and conductivity had positive and negative influences on eDNA detection probability in qPCR replicates respectively. Similarly, conductivity had a negative effect on DNA copy number, whereas copy number increased with CPUE estimate. Our results demonstrate that eDNA analysis could enable detection of crucian carp populations in ponds and benefit ongoing conservation efforts, but imperfect species detection in relation to biotic and abiotic factors and eDNA workflow requires further investigation. Nonetheless, we have established an eDNA framework for the crucian carp as well as sources of imperfect detection which future investigations can build upon.","Univ Hull, Sch Environm Sci, Kingston Upon Hull, N Humberside, England",University of Hull,0046-5070,JAN,2019,64,1,93,107,10.1111/fwb.13197,,WOS:000453853500008,"['Times Cited in Web of Science Core Collection:  34', 'Total Times Cited:  39', 'Cited Reference Count:  65']",,1,,1,4
43,JOUR,"['Wikston, M', 'Breton, BAA', 'Vilaça, ST', 'Bennett, AM', 'Kyle, CJ', 'Beresford, DV', 'Lesbarreres, D', 'Wilson, CC', 'Green, DM', 'Fortin, MJ', 'Murray, DL']",Comparative efficacy of eDNA and conventional methods for monitoring wetland anuran communities,FRONTIERS IN ECOLOGY AND EVOLUTION,English,"['environmental DNA (eDNA)', 'quantitative PCR (qPCR)', 'environmental monitoring', 'species richness', 'community composition', 'amphibian communities', 'ENVIRONMENTAL DNA DETECTION', 'GREAT CRESTED NEWT', 'DETECTION PROBABILITY', 'TEMPORAL VARIATION', 'SPECIES OCCURRENCE', 'DETECTABILITY', 'AMPHIBIANS', 'OCCUPANCY', 'TRENDS', 'CONSERVATION']","Documenting biodiversity, species occurrence, and species status require reliable monitoring techniques, but the complex life history and cryptic behavior of many anurans create challenges for conventional monitoring approaches. Environmental DNA (eDNA) surveys are a promising alternative (or complement) to conventional anuran monitoring, but their relative success has not been fully tested. We assessed the comparative efficacy of targeted eDNA detection via quantitative PCR (qPCR) and three conventional amphibian survey methods (visual encounter, breeding call, and larval dipnet surveys) for detecting nine anuran species in natural wetlands in southern Ontario, Canada. Our analyses revealed that all assessment methods yielded imperfect detection, with visual encounter and eDNA surveys detecting the greatest species richness and eDNA surveys requiring the fewest sampling events. Amphibian community composition results differed among survey methods and sampling events, and detection efficacy was markedly variable, with some species requiring two to three methods to maximize detection success. Notably, two relatively terrestrial species (Anaxyrus americanus and Hyla versicolor) had relatively low and seasonally variable eDNA detection rates, suggesting that species-specific ecology likely affects eDNA presence or detection. These findings suggest that optimized monitoring for complex anuran communities may require application of multiple monitoring methods, which may need to be tailored to individual target species or communities.","Trent Univ, Environm & Life Sci Grad Program, Peterborough, ON, Canada",Trent University,2296-701X,3-Jul,2023,11,,,,10.3389/fevo.2023.1179158,,WOS:001026847300001,"['Times Cited in Web of Science Core Collection:  3', 'Total Times Cited:  4', 'Cited Reference Count:  88']",1179158,1,,1,5
39,JOUR,"['Reid, SM', 'Haxton, TJ']","Use of environmental DNA to detect Eastern Sand Darter (<i>Ammocrypta pellucida</i> Putnam, 1863) in large Laurentian Great Lakes embayments",JOURNAL OF APPLIED ICHTHYOLOGY,English,"['DNA', 'endangered species', 'fish', 'lake', 'monitoring', 'FRESH-WATER', 'OCCUPANCY MODELS', 'FISH', 'EDNA', 'CONSERVATION', 'RARE', 'TOOL', 'SURVEILLANCE', 'HABITAT']","A single-species environmental DNA (eDNA) method was developed to sample for a small, benthic rare species, Eastern Sand Darter (Ammocrypta pellucida Putnam, 1863) in two large Lake Ontario embayments. Summer water sampling allowed for: (a) surveys of habitats (Wellers Bay) where traditional fish sampling gear could not be used; and, (b) a comparison between eDNA and seining-based detection probabilities at known occupied habitats (West Lake). In 2018, replicate (n = 3) 1 L water samples were collected from 90 Wellers Bay sites and 71 West Lake sites. A site-occupancy model, a hierarchical logistic regression model, was fitted to determine site occupancy, sample occupancy (presence of Eastern Sand Darter DNA in a water sample) and probability of detection (p) based on replicate quantitative polymerase chain reaction (qPCR) results for each water sample. Eastern Sand Darter was detected at 10 West Lake sites, but not from Wellers Bay. Mean site occupancy was 0.31 (0.12-0.70; 95% CLs), mean sample occupancy was 0.28 (0.09-0.58; 95% CLs), and mean detection probability in a subsample (i.e., successful qPCR amplification) given it was present was 0.40 (0.25-0.55; 95% CLs). While the eDNA method successfully detected Eastern Sand Darter from known occupied areas in West Lake, it was not more effective for assessing local site occupancy than traditional sampling methods, such as the seine.","Ontario Minist Nat Resources & Forestry, Aquat Res & Monitoring Sect, 2140 East Bank Dr,DNA Bldg, Peterborough, ON K9J 7B8, Canada",Ministry of Natural Resources & Forestry,0175-8659,AUG,2020,36,4,414,421,10.1111/jai.14053,May-20,WOS:000533205600001,"['Times Cited in Web of Science Core Collection:  1', 'Total Times Cited:  1', 'Cited Reference Count:  62']",,1,,1,6
37,JOUR,"['Dubois-Gagnon, MP', 'Bernatchez, L', 'Bélisle, M', 'Dubois, Y', 'Mazerolle, MJ']",Distribution of the boreal chorus frog (<i>Pseudacris maculata</i>) in an urban environment using environmental DNA,ENVIRONMENTAL DNA,English,"['amphibian', 'detection probability', 'landscape', 'occupancy model', 'Pseudacris maculata', 'urbanization', '6TH MASS EXTINCTION', 'SITE-OCCUPANCY', 'LANDSCAPE RESISTANCE', 'FOREST FRAGMENTATION', 'AMPHIBIAN DECLINES', 'LAND-USE', 'HABITAT', 'CONNECTIVITY', 'MODELS', 'BIODIVERSITY']","The boreal chorus frog (Pseudacris maculata) is at risk of extinction in parts of its range in Canada. Our objectives were to quantify the influence of local and landscape characteristics on the occurrence of the species in wetlands in southern Quebec. We hypothesized that site occupancy depends on local characteristics and landscape characteristics contributing to site connectivity. We developed an environmental DNA (eDNA) method to detect the species and compared the detection probability of this method to traditional call surveys. We collected water samples from a total of 180 sites (90 in 2017, 110 in 2018), whereas we surveyed a subset of 63 sites using both eDNA and call surveys in 2018. Site occupancy varied across years, but was higher in sites where the species had been previously detected during the last 12 years by other studies. Site occupancy did not vary with other local and landscape characteristics, in part due to an apparent decrease in the number of sites occupied by the species since the last 12 years. Detection probability via eDNA (0.81; 95% CI: [0.31; 0.98]) did not differ from that of call surveys (0.62; 95% CI: [0.25; 0.89]). To identify the optimal sampling period for the boreal chorus frog, future studies should estimate the detection probability of eDNA during the breeding season and the larval development period of the species.","Univ Laval, Dept Sci Bois & Foret, Ctr Etud Foret, 2405 Rue Terrasse, Quebec City, PQ G1V 0A6, Canada",Laval University,2637-4943,MAR,2022,4,2,326,338,10.1002/edn3.254,,WOS:001324835000006,"['Times Cited in Web of Science Core Collection:  2', 'Total Times Cited:  2', 'Cited Reference Count:  94']",,0,,1,7
45,JOUR,"['Westhoff, JT', 'Berkman, LK', 'Klymus, KE', 'Thompson, NL', 'Richter, CA']",A Comparison of eDNA and Visual Survey Methods for Detection of Longnose Darter <i>Percina nasuta</i> in Missouri,FISHES,English,"['detection', 'environmental DNA', 'visual survey', 'longnose darter', 'gear comparison', 'ENVIRONMENTAL DNA', 'FRESH-WATER', 'ESTIMATING OCCUPANCY', 'SOUND METHODOLOGY', 'FISH', 'PATTERNS', 'QUANTIFY', 'MODELS', 'RIVER']","The longnose darter Percina nasuta is a rare and cryptic fish that recently disappeared from much of its historic range. We developed and used an environmental DNA (eDNA) assay for longnose darter paired with visual surveys to better determine the species' range and compare detection probability between sampling approaches in an occupancy modeling framework. We detected longnose darter eDNA further upstream in the mainstem St. Francis River than previously reported and in a tributary for the first time. Our multi-scale occupancy approach compared models where detection was constant against a model that allowed detection to vary by survey method. The constant model received the most support indicating survey method was not a strong predictor and detection was estimated at 0.70 (0.45-0.86; 95% CI) across both methods. Our study produced effective longnose darter eDNA primers and demonstrated the application of eDNA for sampling small-bodied, cryptic fish. We detected longnose darter eDNA 27 km upstream of their known range and determined that snorkel surveys are the most efficient sampling method if water clarity allows. We recommend target sample sizes to achieve various detection goals for both sample methods and our results inform future design of distributional and monitoring efforts.","Univ Missouri, Sch Nat Resources, US Geol Survey, Missouri Cooperat Fish & Wildlife Res Unit, Columbia, MO 65211 USA",University of Missouri System,2410-3888,APR,2022,7,2,,,10.3390/fishes7020070,,WOS:000785667700001,"['Times Cited in Web of Science Core Collection:  6', 'Total Times Cited:  7', 'Cited Reference Count:  68']",70,0,,1,8
29,JOUR,"['Rose, JP', 'Wademan, C', 'Weir, S', 'Wood, JS', 'Todd, BD']",Traditional trapping methods outperform eDNA sampling for introduced semi-aquatic snakes,PLOS ONE,English,"['SITE OCCUPANCY MODELS', 'ENVIRONMENTAL DNA', 'OPTIMAL SURVEILLANCE', 'DESIGNING OCCUPANCY', 'PERSISTENCE', 'DROUGHT']","Given limited resources for managing invasive species, traditional survey methods may not be feasible to implement at a regional scale. Environmental DNA (eDNA) sampling has proven to be an effective method for detecting some invasive species, but comparisons between the detection probability of eDNA and traditional survey methods using modern occupancy modeling methods are rare. We developed a qPCR assay to detect two species of watersnake (Nerodia fasciata and Nerodia sipedon) introduced to California, USA, and we compared the efficacy of eDNA and aquatic trapping. We tested 3-9 water samples each from 30 sites near the known range of N. fasciata, and 61 sites near the known range of N. sipedon. We also deployed aquatic funnel traps at a subset of sites for each species. We detected N. fasciata eDNA in three of nine water samples from just one site, but captured N. fasciata in traps at three of ten sites. We detected N. sipedon eDNA in five of six water samples from one site, which was also the only site of nine at which this species was captured in traps. Traditional trapping surveys had a higher probability of detecting watersnakes than eDNA surveys, and both survey methods had higher detection probability for N. sipedon than N. fasciata. Occupancy models that integrated both trapping and eDNA surveys estimated that 5 sites (95% Credible Interval: 4-10) of 91 were occupied by watersnakes (both species combined), although snakes were only detected at four sites (three for N. fasciata, one for N. sipedon). Our study shows that despite the many successes of eDNA surveys, traditional sampling methods can have higher detection probability for some species. We recommend those tasked with managing species invasions explicitly compare eDNA and traditional survey methods in an occupancy framework to inform their choice of the best method for detecting nascent populations.","Univ Calif Davis, Dept Wildlife Fish & Conservat Biol, Davis, CA 95616 USA",University of California System,1932-6203,2-Jul,2019,14,7,,,10.1371/journal.pone.0219244,,WOS:000484921200025,"['Times Cited in Web of Science Core Collection:  20', 'Total Times Cited:  26', 'Cited Reference Count:  44']",e0219244,0,,1,9
5,JOUR,"['Mouser, JB', 'Brewer, SK', 'Niemiller, ML', 'Mollenhauer, R', 'Van Den Bussche, RA']",Refining sampling protocols for cavefishes and cave crayfishes to account for environmental variation,SUBTERRANEAN BIOLOGY,English,"['Detection probability', 'karst', 'Ozark Highlands Ecoregion', 'stygobionts', 'SPECIES DETECTION', 'DETECTION PROBABILITY', 'OCCUPANCY ESTIMATION', 'IMPERFECT DETECTION', 'DNA', 'DIVERSITY', 'ABUNDANCE', 'RICHNESS', 'DECAPODA', 'FISHES']","Subterranean habitats represent focal habitats in many conservation strategies; however, these environments are some of the most difficult to sample. New sampling methods, such as environmental DNA (eDNA), show promise to improve stygobiont detection, but sources of sampling bias are poorly understood. Therefore, we determined the factors affecting detection probability using traditional visual surveys and eDNA surveys for both cavefishes and cave crayfishes and demonstrated how detection affects survey efforts for these taxa. We sampled 40 sites (179 visual and 183 eDNA surveys) across the Ozark Highlands ecoregion. We estimated the detection probability of cave crayfishes and cavefishes using both survey methods under varying environmental conditions. The effectiveness of eDNA or visual surveys varied by environmental conditions (i.e., water volume, prevailing substrate, and water velocity) and the target taxa. When sampling in areas with average water velocity, no flow, and coarse substrate, eDNA surveys had a higher detection probability (0.49) than visual surveys (0.35) for cavefishes and visual surveys (0.67) had a higher detection probability than eDNA surveys (0.40) for cave crayfishes. Under the same sampling conditions, 5 visual surveys compared to 10 eDNA surveys would be needed to confidently detect cave crayfishes and 9 visual surveys compared to 4 eDNA surveys for cavefishes. Environmental DNA is a complementary tool to traditional visual surveys; however, the limitations we identified indicate eDNA currently cannot replace visual surveys in subterranean environments. Although sampling designs that account for imperfect sampling are particularly useful, they may not be practical; thus, increasing sampling efforts to offset known detection bias would benefit conservation strategies.","Oklahoma State Univ, Oklahoma Cooperat Fish & Wildlife Res Unit, 007 Agr Hall, Stillwater, OK 74078 USA",Oklahoma State University System,1768-1448,9-Jun,2021,39,,79,105,10.3897/subtbiol.39.64279,,WOS:000662892300002,"['Times Cited in Web of Science Core Collection:  10', 'Total Times Cited:  11', 'Cited Reference Count:  93']",,0,,1,10
27,JOUR,"['Smart, AS', 'Tingley, R', 'Weeks, AR', 'van Rooyen, AR', 'McCarthy, MA']",Environmental DNA sampling is more sensitive than a traditional survey technique for detecting an aquatic invader,ECOLOGICAL APPLICATIONS,English,"['amphibian', 'Australia', 'bottle trap', 'detection probability', 'eDNA', 'invasive species', 'sampling effort', 'smooth newt, Lissotriton vulgaris vulgaris', 'survey design', 'DETECTION PROBABILITY', 'OCCUPANCY', 'NEWTS']","Effective management of alien species requires detecting populations in the early stages of invasion. Environmental DNA (eDNA) sampling can detect aquatic species at relatively low densities, but few studies have directly compared detection probabilities of eDNA sampling with those of traditional sampling methods. We compare the ability of a traditional sampling technique (bottle trapping) and eDNA to detect a recently established invader, the smooth newt Lissotriton vulgaris vulgaris, at seven field sites in Melbourne, Australia. Over a four-month period, per-trap detection probabilities ranged from 0.01 to 0.26 among sites where L. v. vulgaris was detected, whereas per-sample eDNA estimates were much higher (0.29-1.0). Detection probabilities of both methods varied temporally (across days and months), but temporal variation appeared to be uncorrelated between methods. Only estimates of spatial variation were strongly correlated across the two sampling techniques. Environmental variables (water depth, rainfall, ambient temperature) were not clearly correlated with detection probabilities estimated via trapping, whereas eDNA detection probabilities were negatively correlated with water depth, possibly reflecting higher eDNA concentrations at lower water levels. Our findings demonstrate that eDNA sampling can be an order of magnitude more sensitive than traditional methods, and illustrate that traditional-and eDNA-based surveys can provide independent information on species distributions when occupancy surveys are conducted over short timescales.","Univ Melbourne, Sch Biosci, Parkville, Vic 3010, Australia",University of Melbourne,1051-0761,OCT,2015,25,7,1944,1952,10.1890/14-1751.1,,WOS:000362532600017,"['Times Cited in Web of Science Core Collection:  117', 'Total Times Cited:  144', 'Cited Reference Count:  32']",,0,,1,11
